Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,No of Seasons,Streaming Platform
Breaking Bad,2008,18+,9.5,100,"Crime, Drama",5,Netflix
Game of Thrones,2011,18+,9.3,99,"Action & Adventure, Drama",8,Multiple Streaming Platforms
Rick and Morty,2013,18+,9.2,97,"Animation, Comedy",4,Multiple Streaming Platforms
Stranger Things,2016,16+,8.8,96,"Drama, Fantasy",3,Netflix
The Boys,2019,18+,8.7,95,"Action & Adventure, Comedy",2,Prime Video
Dark,2017,16+,8.8,95,"Crime, Drama",3,Netflix
Chernobyl,2019,18+,9.4,95,"Drama, History",1,Multiple Streaming Platforms
Sherlock,2010,16+,9.1,94,"Action & Adventure, Crime",4,Netflix
Fargo,2014,18+,8.9,94,"Crime, Drama",3,Hulu
Avatar: The Last Airbender,2005,7+,9.2,94,"Action & Adventure, Animation",3,Multiple Streaming Platforms
Friends,1994,16+,8.9,94,"Comedy, Romance",10,Multiple Streaming Platforms
The Office,2005,16+,8.9,93,"Comedy, 2005",9,Multiple Streaming Platforms
Supernatural,2005,16+,8.4,93,"Drama, Fantasy",15,Multiple Streaming Platforms
The Wire,2002,18+,9.3,93,"Crime, Drama",5,Multiple Streaming Platforms
Better Call Saul,2015,18+,8.7,92,"Comedy, Crime",5,Netflix
Attack on Titan,2013,18+,8.8,92,"Action & Adventure, Anime",3,Multiple Streaming Platforms
Black Mirror,2011,18+,8.8,92,"Drama, Science-Fiction",5,Netflix
Band of Brothers,2001,18+,9.4,92,"Action & Adventure, Drama",1,Multiple Streaming Platforms
House,2004,16+,8.7,92,"Drama, Mystery",8,Multiple Streaming Platforms
Lucifer,2016,16+,8.2,92,"Fantasy, Crime",5,Netflix
Money Heist,2017,18+,8.4,92,"Thriller, Action & Adventure",2,Netflix
Mr. Robot,2015,18+,8.5,92,"Drama, Thriller",4,Multiple Streaming Platforms
Peaky Blinders,2013,18+,8.8,92,"Crime, Drama",5,Netflix
Cobra Kai,2018,16+,8.8,91,"Action & Adventure, Drama",2,Multiple Streaming Platforms
The Simpsons,1989,7+,8.7,91,"Animation, Comedy",31,Multiple Streaming Platforms
The Mandalorian,2019,16+,8.7,91,"Action & Adventure, Science-Fiction",1,Disney+
The Sopranos,1999,18+,9.2,91,"Crime, Drama",6,Multiple Streaming Platforms
The Umbrella Academy,2019,18+,8,91,"Action & Adventure, Comedy",2,Netflix
Vikings,2013,18+,8.5,91,"Action & Adventure, Drama",6,Multiple Streaming Platforms
The Walking Dead,2010,18+,8.2,91,"Drama, Horror",10,Multiple Streaming Platforms
Lost,2004,16+,8.3,91,"Action & Adventure, Drama",6,Multiple Streaming Platforms
Brooklyn Nine-Nine,2013,16+,8.4,91,"Comedy, Crime",7,Multiple Streaming Platforms
Sex Education,2019,16+,8.3,91,"Comedy, LGBTQ",2,Netflix
Mindhunter,2017,18+,8.6,91,"Crime, Drama",2,Netflix
Dexter,2006,18+,8.6,91,"Crime, Drama",8,Multiple Streaming Platforms
Narcos,2015,18+,8.8,91,"Crime, Drama",3,Netflix
Westworld,2016,18+,8.7,91,"Drama, Science-Fiction",3,Multiple Streaming Platforms
True Detective,2014,18+,9,91,"Crime, Drama",3,Multiple Streaming Platforms
South Park,1997,18+,8.7,90,"Animation, Comedy",23,Multiple Streaming Platforms
Parks and Recreation,2009,16+,8.6,90,"Comedy, 2009",7,Multiple Streaming Platforms
Mad Men,2007,16+,8.6,90,"Drama, 2007",7,Multiple Streaming Platforms
Marvel's Daredevil,2015,18+,8.6,90,"Action & Adventure, Crime",3,Netflix
Firefly,2002,16+,9,90,"Drama, Science-Fiction",1,Hulu
Fringe,2008,16+,8.4,90,"Crime, Drama",5,Free Services
Shameless,2011,18+,8.6,90,"Comedy, Drama",10,Multiple Streaming Platforms
The Big Bang Theory,2007,16+,8.1,90,"Comedy, Romance",12,Multiple Streaming Platforms
Modern Family,2009,16+,8.4,90,"Comedy, Drama",11,Multiple Streaming Platforms
Suits,2011,16+,8.5,90,"Drama, Comedy",9,Multiple Streaming Platforms
The Last Dance,2020,16+,9.2,90,"Documentary, Biography",1,Netflix
Community,2009,7+,8.5,90,"Comedy, 2009",6,Multiple Streaming Platforms
It's Always Sunny in Philadelphia,2005,18+,8.8,90,"Comedy, 2005",14,Multiple Streaming Platforms
Twin Peaks,1990,18+,8.8,90,"Drama, Horror",3,Multiple Streaming Platforms
Hannibal,2013,18+,8.5,90,"Crime, Drama",3,Netflix
Ozark,2017,18+,8.4,90,"Crime, Drama",3,Netflix
Seinfeld,1989,7+,8.8,90,"Comedy, Stand-up & Talk",9,Multiple Streaming Platforms
The Haunting,2018,18+,8.7,89,"Horror, Drama",1,Netflix
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,89,"Action & Adventure, Anime",1,Multiple Streaming Platforms
The Witcher,2019,18+,8.2,89,"Drama, Action & Adventure",1,Netflix
The Fall,2013,18+,8.2,89,"Drama, Thriller",3,Multiple Streaming Platforms
Homeland,2011,18+,8.3,89,"Crime, Drama",8,Multiple Streaming Platforms
The 100,2014,16+,7.7,89,"Drama, Science-Fiction",7,Multiple Streaming Platforms
How I Met Your Mother,2005,16+,8.3,89,"Comedy, Romance",9,Hulu
The Good Place,2016,16+,8.2,89,"Comedy, Drama",4,Multiple Streaming Platforms
The Expanse,2015,16+,8.5,89,"Drama, Action & Adventure",4,Prime Video
Grey's Anatomy,2005,16+,7.6,89,"Drama, Romance",16,Multiple Streaming Platforms
My Hero Academia,2016,16+,8.5,89,"Action & Adventure, Anime",4,Multiple Streaming Platforms
House of Cards,2013,18+,8.7,89,"Drama, Sport",6,Netflix
The Handmaid's Tale,2017,18+,8.5,88,"Drama, Science-Fiction",3,Hulu
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,88,"Action & Adventure, Drama",7,Multiple Streaming Platforms
Fleabag,2016,18+,8.7,88,"Comedy, Drama",2,Prime Video
The Crown,2016,18+,8.7,88,"Drama, History",3,Netflix
Outlander,2014,18+,8.4,88,"Drama, Fantasy",5,Multiple Streaming Platforms
When They See Us,2019,18+,8.9,88,"Thriller, Biography",1,Multiple Streaming Platforms
Futurama,1999,16+,8.4,88,"Science-Fiction, Animation",8,Multiple Streaming Platforms
